Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
"Actions, mouvements et gestes",,,,,Noé Soulier,"Soulier, Noé",,,,,,Centre national de la danse,,2016/10/01,2016,,,,,"""""Implicitement, j'avais analysé et mémorisé les deux premiers mouvements de la manière suivante : le bras forme une ligne droite qui décrit un arc de cercle vers le bas ; au moment précis où il passe devant le genou, celui-ci se fléchit, puis le tronc bascule d'environ 20 vers l'avant, etc. Il était impossible d'exécuter correctement la phrase de Set and Reset avec cette lecture du mouvement. La suivante fonctionnait mieux : je laisse tomber le poids du bras étendu, le bras entraîne dans sa chute le genou dont le fléchissement fait basculer le torse, et ainsi de suite."" Danseur et chorégraphe, Noé Soulier articule ici des manières de prêter attention au mouvement en s'appuyant sur une analyse des pratiques chorégraphiques. Il développe ainsi des focales d'attention: des cadrages conceptuels qui proposent différentes façons d'appréhender k mouvement et k corps. Cette recherche se situe à la frontière ténue entre une pratique artistique qui se concentre sur l'attitude du spectateur et une réflexion sur l'art qui cherche moins à décrypter le sens des oeuvres qu'à enrichir les multiples manières d'en faire l'expérience. Actions, mouvements et gestes est une proposition chorégraphique qui prend la forme d'un livre. C'est une oeuvre d'observation qui fait de l'élaboration de différents modes de regard sur le mouvement la danse elle-même.""--Page 4 of cover.",,,,,,,,,,,141,,,,,,français,,,,,,9782914124751,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:02:29.024660944,,,,,,,CRcfvgAACAAJ,Essai,0,0,,http://images.amazon.com/images/P/2914124759.01Z.jpg,
Ados LGBTI,,"Les mondes contemporains des jeunes lesbiennes, gays,bisexuel(le)s, transgenres, intersexes",,,Thierry Goguel d'Allondans,"Goguel d'Allondans, Thierry",,,,,,,,,,,,,,,,,,,,,,,,,308,,,,,,français,,,,,,9782763731711,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:34:10.281816959,,,,,,,,Études,0,0,,http://images.amazon.com/images/P/2763731716.01Z.jpg,
Agir par la culture,,,,,Arnaud [VNV] Lionel,"Lionel, Arnaud [VNV]",,,,,,L'Attribut,,,2018,,,,,,,,,,,,,,,,,,,,,,français,,,,,,9782916002583,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.867889046,,,,,,,,Études,0,0,,http://images.amazon.com/images/P/2916002588.01Z.jpg,
Aliénation et accélération vers une théorie critique de la modernité tardive,,,,,Hartmut Rosa,"Rosa, Hartmut",,,,,,La Découverte,,,,,,,,,,,,,,,,,,,153,,,,,,français,,,,,,9782707182067,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 19:54:29.662641048,,,,,,,,Essai,0,0,,http://images.amazon.com/images/P/2707182060.01Z.jpg,
Ame rouge,,,,,"Juan Díaz Canales, Juanjo Guarnido","Canales, Juan Díaz",,,,,,Dargaud,,,2005,,,,,"Mike Steve Donovan, alias le Lieutenant Blueberry est apparu en 1963 dans une série publiée dans Pilote, intitulée Fort Navajo. Très vite, ce personnage buveur, tricheur et pouilleux va s'imposer comme personnage principal de cette série western créée par Jean-Michel Charlier (scénario) et Jean Giraud (dessins). En 1968, les auteurs entreprennent de raconter la jeunesse du héros, durant la guerre de Sécession. Ces pages, sont publiées dans le « Super Pocket Pilote » et nous apprenent notamment comment le héros a obtenu son pseudonyme étrange (""Blueberry"" veut dire « Myrtille » en Anglais). Jean Giraud se détache ensuite de cette série parallèle qui est donc reprise graphiquement par Colin Wilson, puis par Michel Blanc-Dumont. Lorsque le 10 juillet 1989, Jean-Michel Charlier meurt, c'est François Corteggiani qui reprend le scénario de La Jeunesse de Blueberry. Jean Giraud, quand à lui, se réserve la série principale mais préfère s'entrainer à l'écriture de scénario sur une autre série parallèle qu'il crée avec William Vance au dessin: Marshall Blueberry. Le dernier album de cette série sera dessiné par Michel Rouge tandis que Jean Giraud entame un nouveau cycle de la série principale, intitulé Mister Blueberry et dont il assure le scénario comme le dessin.",,,,,,,,,,,56,,,,,,français,,,,,,9782205055641,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:48:31.810214042,,,,,,,ZdIxAgAACAAJ,Bande Dessinée,0,0,,,
Anatomie pour le mouvement,,"Tome 1, Introduction à l'analyse des techniques corporelles",,,Blandine Calais-Germain,"Calais-Germain, Blandine",,,,,,Anatomie pour le mouvement,,1999/07/03,1999,,,,Human mechanics,"Ce livre a été réalisé pour que l'anatomie ne soit plus un domaine réservé aux seuls spécialistes, mais intéresse le plus grand nombre, et en particulier celles et ceux qui pratiquent une technique corporelle. Il présente d'une manière vivante, un panorama des os, des articulations, des muscles, en liaison directe avec le mouvement. Il s'appuie essentiellement sur l'illustration ""en volume"". Celle-ci est commentée par un texte qui peut être abordé en deux temps : lecture rapide ou plus approfondie. Une édition entièrement renouvelée : En 1981, Blandine Calais-Germain fondait l'anatomie pour le mouvement). En 1984, après trois ans d'élaboration, elle éditait cet ouvrage : ""anatomie pour le mouvement"" tome 1. Quinze années se sont écoulées, et l'œuvre de Blandine Calais-Germain s'est développée, affinée, en particulier grâce à un travail permanent de recherche et d'enseignement. La nouvelle édition est le fruit de cette évolution. L'ouvrage a été entièrement revu par son auteur et enrichi d'apports nouveaux. Plus de 700 dessins d'anatomie ont été retravaillés ou changés. Le vocabulaire anatomique international est ajouté et l'innervation des muscles précisée.",,,,,,,,,,,298,,,,,,français,,,,,,9782950060839,0,1.000000,,Unread,,,,,,,,0,,,,2020/01/01 17:49:35.631245970,,"Incontournable,Anatomie",,,,,6CSlAAAACAAJ,Méthodes,0,0,,http://images.amazon.com/images/P/2950060838.01Z.jpg,
Anatomie pour le mouvement,,Bases d'exercices. Tome 2,,,"Blandine Calais-Germain, Andrée Lamotte","Calais-Germain, Blandine",,,,,,Editions Desiris,,2014/09/03,2014,,,,,"Cet ouvrage analyse les mouvements les plus courants rencontrés dans les techniques corporelles et présente un répertoire d'exercices. Les mouvements et les exercices proposés ont été choisis à partir du point de vue anatomique pour leur efficacité et leur innocuité. Ils sont expliqués dans le détail, avec de nombreuses variantes permettant de les adapter aux différentes situations rencontrées en cours. À qui s'adresse-t-il? Aux personnes qui enseignent ou pratiquent une technique corporelle, et qui veulent un éclairage anatomique pour le choix de leurs exercices et progressions.",,,,,,,,,,,302,,,,,,français,,,,,,9782364030879,0,1.000000,,Unread,,,,,,,,0,,,,2020/01/01 17:49:40.457932949,,"Incontournable,Anatomie",,,,,5mnJoQEACAAJ,Méthodes,0,0,,http://images.amazon.com/images/P/2364030870.01Z.jpg,
Anatomy of Breathing,,,,,Blandine Calais-Germain,"Calais-Germain, Blandine",,,,,,Eastland Press,,,2006,,,,Health & Fitness,"My hope is that [this book] will contribute to a more enlightened practice of breathing. I also hope that you, the reader, will have a better understanding of how breathing changes spontaneously from moment to moment. My other wish is that you will discover how to consciously choose a specific breathing technique for certain purposes or circumstances."" -- Author's Preface Everyone breathes, yet few of us understand how to consciously control breathing to improve our well-being and the quality of many daily activities. Anatomy of Breathing is a clear and helpful guide to both the theory and practice of breathing in its many variations. Hundreds of expert drawings along with easy-to-understand text help you explore just how breathing works. Once you're acquainted with the principal organs, structures, and forces that affect breathing, you will learn how to control them to enhance the quality and variety of breathing in your own life. Along the way, you will also correct many common misconceptions about breathing. Anatomy of Breathing is filled with helpful practice pages. Here you will learn simple exercises to prepare your body for the benefits of different types of breathing. You will then be shown, step by step, how to practice some of the most common and useful breathing techniques on your own. Anatomy of Breathing is a unique and wonderful resource for anyone who wishes to understand the science and art of breathing, and how to make their own breathing better and more life-enhancing.",,,,,,,,,,,232,,,,,,anglais,,,,,,9780939616558,0,1.000000,,Unread,,,,,,,,0,,,,2020/01/01 18:00:42.735592961,,"Anglais,Anatomie",,,,,NGshAQAAMAAJ,Méthodes,0,0,,,
Anatomy Trains,,Myofascial Meridians for Manual and Movement Therapists,,,Thomas W. Myers,"Myers, Thomas W.",,,,,,Churchill Livingstone/Elsevier,,,2014,,,,Medical,"The latest edition of this highly successful volume presents a unique understanding of the role of fascia in healthy movement and postural distortion which is of vital importance to bodyworkers and movement therapists worldwide.  Fully updated with the latest scientific research, the book presents a unique ''whole systems'' view of myofascial/locomotor anatomy in which the body-wide connections among the muscles within the fascial net are described in detail. Using the metaphor of railway or train lines, the book explains how patterns of strain communicate through the myofascial ''webbing'', contributing to movement stability and postural compensation.  Written in the clear and accessible style that characterised the success of previous editions, the book guides the reader in the effective application of the Anatomy Trains theory via the use of abundant diagrams, photographs and educational film sequences on an associated website (www.myersmyofascialmeridians.com).  Anatomy Trains: Myofascial Meridians for Manual and Movement Therapists will be ideal for all those professionals who have an interest in human movement: massage therapists, structural integration practitioners, craniosacral therapists, yoga teachers, osteopaths, manual therapists, physiotherapists, athletic trainers, personal trainers, dance and movement teachers, chiropractors and acupuncturists. """"Anatomy Trains"" is certainly not devoid of personality. It is this personality combined with a non-scientific writing style, yet supported clearly with scientific references, that makes or breaks the book as a reader. If approached with an open mind then there is a clear working theory that flows throughout the text and even now in its 3rd edition, the book appears novel and rogue. [...] There is a clinical relevance to this book that could change the thinking of most physiotherapists and encourage a more ""whole body"" approach to therapy."" Sam Blanchard, Head of Academy Physiotherapy, Brighton & Hove Albion Football club.  Provides a revolutionary approach to the study of human anatomy which has been shown to improve the outcomes of physical therapies traditionally used to manage pain and other musculoskeletal disorders  Describes a theory which is applicable to all common types of movement, posture analysis and physical treatment modalities Layout designed to allow the reader to gather the concept quickly or gain a more detailed understanding of any given area according to need Design icons direct readers to their own specialist areas of interest, e.g. manual therapy, movement therapy, visual assessment, kinaesthetic education or supplementary video material Appendices discuss the relevance of the Anatomy Trains concept to the work of Dr Louis Schultz (Meridians of Latitude), Ada Rolf (Structural Integration) and the practice of Oriental Medicine  Accompanying website (www.myersmyofascialmeridians.com) presents multi-media exploration of the concepts described in the book - film clips from Kinesis DVDs, computer graphic representations of the Anatomy Trains, supplementary dissection photographs and video clips, webinars, and some extra client photos for visual assessment practice   Text updated in relation to the most up-to-date research originally published at the International Fascia Research Congress, Vancouver, 2012 Includes the latest evidence for the scientific basis of common clinical findings, including preliminary evidence from human fascial dissections Explores the role of fascia as our largest sensory organ Contains updates arising out of continual teaching and practice - for example, the role of the fascia and its interconnectivity in the generation of pain and/or force transmission  New chapter discusses the role of Anatomy Trains theory in the analysis of gait  Video clips on an associated website (www.myersmyofascialmeridians.com) present examples of the concepts explored in the book  Podcasts on the website explore the therapeutic techniques involved Website addresses and references fully updated throughout",,,,,,,,,,,317,,,,,,anglais,,,,,,9780702046544,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:47:21.744518995,,,,,,,kHk6lAEACAAJ,Méthodes,0,0,,,
Andromaque,,Tragédie,,,Jean Racine,"Racine, Jean",,,,,,Larousse,,,2008,,,,,,,,,,,,,,,,159,,,,,,français,,,,,,9782035839183,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 19:54:29.653906941,,,,,,,,Théâtre,0,0,,http://images.amazon.com/images/P/2035839181.01Z.jpg,
