Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Catastrophe et autres dramaticules,,,,,Beckett,Beckett,,,,,,Editions de minuit,,,,,,,,,,,,,,,,,,,98,,,,,,français,,,,,,9782707310873,0,0.500000,,Unread,,,,,,,,0,,,,2019/07/28 16:58:49.795817017,,,,,,,,Théâtre,0,0,,http://images.amazon.com/images/P/2707310875.01Z.jpg,
Catharsis,,,,,Luz,Luz,,,,,,Futuropolis,,,2015,,,,Pictorial French wit and humor,"""Alors naît Catharsis. Un livre thérapeutique où Luz nous livre par petites nouvelles ses pensées, son quotidien depuis ce jour qui a bouleversé sa vie, et à une autre échelle, celle de millions d'êtres humains. Les sentiments se bousculent, les styles, le ton. Du rire aux larmes, de la laideur à la beauté, de la colère à l'amour. Catharsis est un ouvrage bouleversant. Y a du Charlie dedans, bien sûr, mais aussi y a du Charb, y a du Cabu, y a du sexe, y a de la musique, y a du Reiser, y a du Feiffer, y a du Franquin, y a la police, y a du rouge, y a l'enfance, y a du rire, y a pas de chanson française, y a du rock, y a du roll, y a des yeux rouges et y a du rire, y a un pigeon, y a de la poésie, y a du Gébé, y a de la pluie, y a du soleil. Y a un auteur qui revit, et un livre incroyable qui s'affirme déjà comme un ouvrage nécessaire. Un classique instantané.""--Publisher.",,,,,,,,,,,125,,,,,,français,,,,,,9782754812757,0,0.500000,,Unread,,,,,,,,0,,,,2019/07/28 20:55:46.378311991,,,,,,,KwSFrgEACAAJ,Bande Dessinée,0,0,,http://images.amazon.com/images/P/275481275X.01Z.jpg,
"Catherine Diverrès, mémoires passantes",,,,,Irène Filiberti,"Filiberti, Irène",,,,,,L'Oeil d'or,,,2010,,,,Dancers,,,,,,,,,,,,159,,,,,,français,,,,,,9782913661394,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 19:24:09.807000041,,,,,,,,Œuvre d’artiste,0,0,,http://images.amazon.com/images/P/2913661394.01Z.jpg,
Ce que le sida m'a fait,,art et activisme à la fin du XXe siècle,,,Elisabeth Lebovici,"Lebovici, Elisabeth",,,,,,JRP-Ringier,,,2017,,,,,"Restituer la parole des ami-e-s de lutte, articuler les ""je"" et ""nous"" d'alors et d'aujourd'hui, faire retour sur des faits et affects peu connus du public français, analyser l'""épidémie de la représentation"" consécutif à l'apparition du sida : telle est l'entreprise de cet ouvrage, conçu par Elisabeth Lebovici comme un véritable ""discours de la méthode"", où, toujours, le personnel est politique. Engagée aux côtés des activistes français et américains de la lutte contre le sida, observatrice privilégiée, en tant qu'historienne de l'art et journaliste, des débats et enjeux des années 1980 et 1990, l'auteure analyse ce moment charnière des liens entre art et activisme, qu'elle revisite avec sa mémoire de témoin, en survivante affectée. Monographies, entretiens et essais thématiques composent ce volume, rédigé de manière assumée — la seule possible — à la première personne. Il propose ainsi une cosmologie élective — d'ACT UP à Dana Wyse, d'Alain Buffard à Zoe Leonard, de Lionel Soukaz à Mark Morrisroe, entre autres —, illustrée par des archives et ephemera qui soulignent l'importance du graphisme dans la lutte contre le sida. Embrassé par une création originale du collectif lesbien fierce pussy, Ce que le sida m'a fait est un ouvrage nécessaire pour comprendre les ""années sida"", cette période d'une créativité artistique et activiste née de l'urgence de vivre et du combat pour la reconnaissance de tous--tes.",,,,,,,,,,,320,,,,,,français,,,,,,9783037644997,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:41:15.378414034,,,,,,,ZMEStAEACAAJ,Essai,0,0,,,
Ce que les bêtes nous apprennent de la politique,,,,,Brian Massumi,"Massumi, Brian",,,,,,Editions Dehors,,,2016,,,,,,,,,,,,,,,,112,,,,,,français,,,,,,9782367510118,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:16:31.084218025,,,,,,,griuswEACAAJ,Études,0,0,,http://images.amazon.com/images/P/2367510113.01Z.jpg,
Ceci est mon sang,,"Petite histoire des règles, de celles qui les ont et de ceux qui les font",,,Élise Thiébaut,"Thiébaut, Élise",,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,français,,,,,,9782348042898,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.861256003,,,,,,,,Essai,0,0,,http://images.amazon.com/images/P/2348042894.01Z.jpg,
Celle que mes yeux ne voient pas...,,,,,Yslaire,Yslaire,,,,,,Glénat,,2018/11/28,2018,,,,,"Juin 1862. La Bastide. Bernard-Marie a le spleen de son âge. Pour l'oublier, il se passionne pour le théâtre, la photographie, l'entomologie et la migration des sphynx tête de mort. Mais sa tante Sarah, souffrant du détachement de l'adolescent, tente désespérément d'étouffer ses velléités d'émancipation. Paris. Judith est l'une des attractions principales du Pays des Sphynges, qui compte parmi les bordels les plus courus de la capitale. Sans scrupules, l'orpheline fait de son corps l'outil de son irrésistible ambition : devenir une artiste reconnue et adulée. Sans le savoir, Bernard-Marie rêve de sa mort avec Judith. Sans le connaître, Judith cherche l'âme-soeur, dans l'ombre du miroir sans tain de sa chambre publique. Inconsciemment, malgré la distance et toutes les apparences qui les séparent, leur quête de liberté rend leur rencontre fatale et inéluctable... [4e de couv.]",,,,,,,,,,,72,,,24.00 x 1.40 x 32.00 cm,,,français,,,,,1078664785,9782344015773,0,0.000000,,Unread,,,,,,,,0,,,,2020/06/11 16:15:26.434123992,,,2020/06/11,,,,dcm9vgEACAAJ,,0,0,,http://images.amazon.com/images/P/2344015779.01Z.jpg,
Celle qui marchait sur la pointe des pieds,,nouvelles,,,Danielle Fournier,"Fournier, Danielle",,,,,,Leméac,,,2019,,,,,"Comment définir l’identité ? Comment devient-on la mère de sa mère tout en restant sa fille ? Danielle Fournier nous propose trois novellas autour de ces thèmes. Il y a d’abord ce JE, le JE de Grâce, impuissante sur la terre paternelle et témoin de la descente aux enfers de son fils, celui qui joue avec les aiguilles et la mort. Puis ELLE intervient, celle qui pleure la mort de sa mère, qui tente d’accepter l’inacceptable dans une maison peuplée d’ombres. Enfin arrive le NOUS, englobant, neutre, mais vivant malgré tout, sous le signe du silence et de la mélancolie. En toile de fond, l’auteure offre un véritable hymne à la nature, omniprésente : le fleuve, les éléments, le paysage, déclinés poétiquement au gré des saisons.",,,,,,,,,,,101,,,,,,français,,,,,,9782760947948,0,0.000000,,Read,,2019/07/28,,,,,,0,,,,2019/07/28 18:07:28.858086943,,,,,,,sJkYxQEACAAJ,Roman,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/766559CD-CB82-4225-8757-48CDDBFFA7F6,"[{""status"":0,""activityYear"":2019,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Laura"",""type"":12,""addedDate"":""2019\/07\/28 18:24:41.805937051"",""activityDate"":""2019\/07\/28""}]"
Ces corps qui comptent,,"De la matérialité et des limites discursives du ""sexe""",,,Judith Butler,"Butler, Judith",,,,,,Editions Amsterdam/Multitudes,,2018/11/22,2018,,,,,"La prise en compte de la matérialité des corps n'implique pas la saisie d'une réalité pure, naturelle, derrière le genre : si le sexe est un présupposé nécessaire du genre, nous n'aurons jamais accès au réel du sexe qu'à travers nos schèmes culturels. Le sexe, comme le genre, est une nonne culturelle, qui régit la matérialité des corps. Il importe donc de souligner que le concept de matière a une histoire, où sont sédimentés les discours sur la différence sexuelle. En outre, si certains corps (par exemple blancs, mâles et hétérosexuels) sont valorisés par la nonne, d'autres (par exemple lesbiens ou non blancs) sont produits comme abjects, rejetés dans un dehors invivable. A travers une reprise critique du concept foucaldien de ""contrainte productive "", Judith Butler s'efforce, loin de tout volontarisme, de ressaisir la façon dont ces corps peuvent défaire les normes qui les constituent et devenir le lieu d'une puissance d'agir transformatrice. Ce livre, où l'épistémologie se mêle à la politique, constitue un jalon des études de genre et l'un des ouvrages majeurs de son auteure.",,,,,,,,,,,352,,,,,,français,,,,,,9782354801847,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.818526029,,,,,,,2bXcvgEACAAJ,Études,0,0,,http://images.amazon.com/images/P/235480184X.01Z.jpg,
Ces pierres qui guérissent,,guide pratique de lithothérapie,,,Philip Permutt,"Permutt, Philip",,,,,,Le Courrier du Livre,,,2008,,,,,"Reconnues depuis des siècles par de nombreuses traditions comme moyen de guérison naturelle, les propriétés bénéfiques des minéraux ne sont plus à prouver. L'auteur, PIILIP PERMUTT, initié à la médecine traditionnelle taoïste et maître de reiki, dévoile dans le présent ouvrage leurs vertus thérapeutiques. Vous découvrirez ainsi comment lutter contre l'insomnie, les angoisses, le manque de concentration, les troubles émotionnels, les maux de tête, les allergies... Mais aussi comment se protéger des ondes nocives et purifier un lieu. En plus de prévenir et guérir, les cristaux aident à rééquilibrer et harmoniser les énergies physiques et psychiques à l'aide de procédés très simples. Grâce au sérieux et au savoir-faire de son auteur, ce livre permet d'acquérir rapidement différentes méthodes de soin et d'en juger les bienfaits. Avec son répertoire riche de 250 minéraux efficaces contre 250 affections courantes, cet ouvrage deviendra vite un guide précieux et indispensable.",,,,,,,,,,,144,,,,,,français,,,,,,9782702906309,0,0.000000,,Unread,,,,,,,,0,,,,2019/08/19 15:38:02.976145029,,,,,,,UPZsPAAACAAJ,Méthodes,0,0,,http://images.amazon.com/images/P/2702906303.01Z.jpg,
César.,,,,,1921-1998 César,"César, 1921-1998",,,,,,Fage éditions,,,,,,,,,,,,,,,,,,,62,,,,,,français,,,,,,9782849754603,0,0.500000,,Unread,,,,,,,,0,,,,2019/07/28 16:58:49.797199010,,Art,,,,,,Œuvre d’artiste,0,0,,http://images.amazon.com/images/P/2849754609.01Z.jpg,
"Chagall, Lissitzky, Malévitch",,"L'avant-garde russe à Vitebsk, 1918-1922",,,Angela Lampe - Sofiya Glukhova,"Glukhova, Angela Lampe - Sofiya",,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,français,,,,,,9782844268181,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:02:29.005754947,,,,,,,,Catalogues,0,0,,http://images.amazon.com/images/P/2844268188.01Z.jpg,
Chant de l'amour et de la mort du cornette Christophe Rilke,,,,,Rainer Maria Rilke,"Rilke, Rainer Maria",,,,,,Editions Marguerite Waknine,,2019/05/17,2019,,,,,"C'est l'année 1900. Rilke a vingt-cinq ans. Il vient d'effectuer deux voyages en Russie, le second aux côtés de Lou Andréas Salomé, qui signe aussi la fin de leur histoire d'amour. C'est en août de la même année, sur l'invitation d'un jeune peintre, Heinrich Vogeler, que Rilke décide de rejoindre un groupe d'artistes, à Worpswede, où il rencontrera bientôt Clara Westhoff qui deviendra sa femme et grâce à laquelle surtout il découvrira Auguste Rodin dont elle avait été l'élève. Au cours de cette période essentielle, quelques textes voient le jour, notamment Deux histoires pragroises, les deux premières parties du Livre d'heures, les Histoires du bon Dieu, mais également ce Chant de l'amour et de la mort du cornette Christophe Rilke, où l'on trouve déjà les images et les thèmes essentiels à l'oeuvre de Rilke, à la constitution de sa profonde vie intérieure. Un chant composé au cours d'une nuit d'automne ; un chant splendide et qui résonne comme un écho lointain, à la manière d'une sorte de rêve dont l'allure s'évanouit en parvenant jusqu'au seuil du silence et de la mort. Comme le veut la collection Livrets d'art, le présent ouvrage comprend un cahier dans lequel ont été rassemblées avec soin des images illustrant le texte.",,,,,,,,,,,58,,,,,,français,,,,,,9791094565438,0,0.500000,,Unread,,,,,,,,0,,,,2020/04/03 12:23:18.764618039,,,,,,,SFJxxQEACAAJ,Poésie,0,0,,,
Charlotte,,,,,David Foenkinos,"Foenkinos, David",,,,,,Gallimard,,,,,,,,,,,,,,,,,,,253,,,,,,français,,,,,,9782070469239,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:41:15.356891989,,,,,,,,Roman,0,0,,http://images.amazon.com/images/P/2070469239.01Z.jpg,
Chorégrapgier l’exposition / Choreographing exhibitions,,,,,Mathieu Copeland,"Copeland, Mathieu",,,,,,Les Presses du réel,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:37:03.154487013,,,,,,,,Méthodes,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/5F672078-7AB7-4354-8782-8DCBB457C154,
Choreo-graphic Figures,,Deviations from the Line,,,"Nikolaus Gansterer, Emma Cocker, Mariella Greil","Gansterer, Nikolaus",,,,,,De Gruyter,,2017/04/24,2017,,,,Art,"Choreo-graphic Figures: Deviations from the Line stages a beyond-disciplinary, inter-subjective encounter between the lines of choreography, drawing and writing, for exploring those forms of thinking-feeling-knowing produced through collaborative exchange, in the slippage and deviation, as different modes of practice enter into dialogue, overlap, collide. The publication is conceived as a studio-laboratory in itself, drawing together critical reflections and experimental practices that focus on the how-ness -- the qualitative-procedural, aesthetic-epistemological and ethical-empathetic dynamics -- within shared artistic exploration, directing attention to an affective realm of forces and intensities existing before, between and beneath the more readable gestures of artistic practice.",,,,,,,,,,,395,,,,,,anglais,,,,,,9783110546606,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:58:49.813673973,,,,,,,FkphAQAACAAJ,Études,0,0,,,
Choreographing Relations,,"Practical Philosophy and Contemporary Choreography in the Works of Antonia Baehr, Gilles Deleuze, Juan Dominguez, Félix Guattari, Xavier Le Roy and Eszter Salamon",,,Petra Sabisch,"Sabisch, Petra",,,,,,epodium,,,2011,,,,,"""Choreographing Relations"" undertakes the experiment of a conceptual site development of contemporarychoreography by means of practical philosophy. Guided by the radically empiricist question ""What Can Choreography Do?"" the book investigates the performances of Antonia Baehr, Juan Dominguez, Xavier Le Roy, and Eszter Salamon, and the philosophical works of Gilles Deleuze and Félix Guattari. It establishes a relation between these practitioners as an encounter in method, and develops method as a singular,material and experimental practice. In view of these singular methods and the participatory relations to which they give rise, Choreographing Relations offers a prolific inventory of arepresentational procedures that qualitatively transformed choreography and philosophy at the turn of the twentieth century.",,,,,,,,,,,279,,,,,,anglais,,,,,,9783940388209,0,0.000000,,Unread,,,,,,,,0,,,,2019/08/20 08:39:44.646234989,,,,,,,2oWfIsLrWtwC,Études,0,0,,,
Claire lumière de félicité la Pratique du Mahamoudra dans le Bouddhisme Vajrayana,,La pratique du mahamudra dans le bouddhisme du vajrayana,,,Kelsang Gyatso,"Gyatso, Kelsang",,,,,,Tharpa Editions,,2006/02/01,2006,,,,,,,,,,,,,,,,352,,,13.80 x 2.50 x 21.60 cm,,,français,,,,,470057862,9782913717190,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 12:51:59.225749015,,,2020/07/16,,,,a2RkvgAACAAJ,,0,0,,http://images.amazon.com/images/P/2913717195.01Z.jpg,
"Claude Brumachon, Benjamin Lamarche",,25 ans de danse à Nantes au Centre chorégraphique national,,,Centre chorégraphique national Nantes.,"Nantes., Centre chorégraphique national",,,,,,Joca Seria :,,,2015,,,,,,,,,,,,,,,,260,,,,,,français,,,,,,9782848092591,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:02:29.007194042,,,,,,,,Œuvre d’artiste,0,0,,http://images.amazon.com/images/P/2848092599.01Z.jpg,
Coder le monde,,Mutations/Créations,,,Frédéric Migayrou,"Migayrou, Frédéric",,,,,,HYX,,2018/12/03,2018,,,,,"A l'ère numérique, le code est au coeur de notre quotidien, il modifie notre rapport au monde et aux autres. ""Coder le monde"" présente un état de la création digitale contemporaine dans différentes disciplines. Revenant sur l'histoire du code numérique et la manière dont les artistes s'en sont emparés depuis l'avènement de l'ordinateur dans les années 1960, ce livre fait apparaître un univers esthétique et critique commun qui questionne notre quotidien entièrement irrigué par les logiques numériques. Les artistes, les musiciens, les écrivains, les architectes, les créateurs de toutes disciplines ont en effet été les prescripteurs et les inventeurs d'une approche alternative du code. Articulé autour de six timelines (Nombres, codes, programmes ; Algoristes ; Littérature ; Architecture, design ; Corps, code ; Musique), cet ouvrage dévoile de multiples correspondances dans les logiques de création et offre une lisibilité globale de ce qui constitue aujourd'hui une culture du numérique.",,,,,,,,,,,238,,,,,,français,,,,,,9782373820119,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.877472043,,,,,,,TO1fwQEACAAJ,Études,0,0,,http://images.amazon.com/images/P/2373820110.01Z.jpg,
Colopathie-Party,,Colopathie partie,,,Cymone,Cymone,,,,,,Edilivre,,2012/10/01,2012,,,,,"C’est une maladie étrange qui me vide et qui s’apparente à une gastro-entérite, une maladie chronique dont aucun médecin ne vient à bout. Elle m’empêche de me nourrir correctement et anéantit ma vie depuis 20 ans. Comme disent les médecins, il pourrait s’agir d’une maladie psychosomatique ayant pour origine mon enfance toute en souffrance, ma jeunesse sans allégresse, l’échec de mon mariage ou la réussite de mon divorce ! Cette vie, remplie tour à tour de bonheurs intenses ou de vives déceptions me tordrait les boyaux ? Le psychisme n’étant pas toujours en cause, je cherche ailleurs la vérité. Après l’avoir dénichée sur Internet, je la livre au docteur ""K"" qui n’en fera qu’une bouchée. Ecrit un peu comme un roman, ce combat sur la maladie retrace tous les périples d’une ""colopathe"" qui ne s’en laisse pas compter. Tout en passant au peigne fin les erreurs médicales dont nous sommes victimes, j’encourage les patients à mieux se connaître, afin de collaborer plus étroitement avec leurs médecins.",,,,,,,,,,,406,,,,,,français,,,,,,9782332508737,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 19:54:29.672065019,,,,,,,qQ3MMgEACAAJ,Études,0,0,,http://images.amazon.com/images/P/2332508732.01Z.jpg,
Comment comprendre l'esprit,,La nature et le pouvoir de l'esprit,,,Guéshé Kelsang Gyatso,"Gyatso, Guéshé Kelsang",,,,,,Tharpa Editions,,2018/11/27,2018,,,,,,,,,,,,,,,,455,,,,,,français,,,,,,9791090820562,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:44:30.662132978,,,,,,,x91fvwEACAAJ,"Religion, Spiritualité",0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/864DF146-0D21-4E06-BBA1-86F910398261,
Comment comprendre l'esprit,,La nature et le pouvoir de l'esprit,,,Guéshé Kelsang Gyatso,"Gyatso, Guéshé Kelsang",,,,,,Editions Tharpa,,2013/10/18,2013,,,,Psychology,"Ce livre remarquable nous permet d’obtenir une compréhension profonde de la nature et de la fonction de notre esprit, et nous montre comment utiliser cette compréhension pour améliorer notre vie quotidienne.  La première partie est un guide pratique nous permettant de développer et de maintenir un esprit léger et positif, en nous montrant comment reconnaître et abandonner les états d’esprit qui nous font du mal pour les remplacer par des états d’esprit paisibles et bénéfiques.  La deuxième partie décrit en détails les différents types d’esprit, révélant la profondeur de la compréhension bouddhiste de l’esprit. Il se termine par une explication détaillée de la méditation et nous découvrons comment, en contrôlant et transformant notre esprit, nous pouvons parvenir à un état de paix, de joie et de sérénité indépendamment des conditions extérieures.",,,,,,,,,,,456,,,,,,français,,,,,,9791090820395,0,0.000000,,Unread,,,,,,,,0,,,,2020/03/24 10:17:01.100818037,,,,,,,quzZAwAAQBAJ,"Religion, Spiritualité",0,0,,,
Comment j'Ai Appris À Me Tenir Droit,,,,,Christian Globensky,"Globensky, Christian",,,,,,BLURB Incorporated,,2018/07/25,2018,,,,Self-Help,"Ce petit livre d'artiste que vous allez découvrir dans un instant, que l'on pourrait croire dans un premier temps destiné à une collection de développement personnel, embrasse en fait un champ bien plus large, allant de la philosophie à l'esthétique. Si son auteur entend démontrer que l'usage du don est au coeur de la réalisation de soi, entendue ici comme un phénomène esthétique, c'est pour mieux poser cette question: Comment peut-on devenir un sponsor de la générosité ? Parce que le dépassement de soi requiert avant tout un don de soi, ce livre accorde également une attention toute particulière au langage du corps, donnant au lecteur de multiples conseils afin de lui permettre de vivre à la fois une renaissance esthétique et athlétique. (c) KTA éditions, 2015 - Conception graphique: KTA Studio - ISBN: 979-10-94517-00-0",,,,,,,,,,,106,,,,,,français,,,,,,9791094517000,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:18:15.572370052,,,,,,,E2E_jgEACAAJ,Essai,0,0,,,
Comment on devient Bouddha,,Selon Nietzsche,,,Christian Globensky,"Globensky, Christian",,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,français,,,,,,9782372290357,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:18:15.535568952,,,,,,,,Essai,0,0,,http://images.amazon.com/images/P/2372290355.01Z.jpg,
Comment résoudre nos problèmes humains,,,,,Guéshé Kelsang Gyatso,"Gyatso, Guéshé Kelsang",,,,,,,,2012/11/01,2012,,,,Self-Improvement,"Ce livre présente, à la manière d'une approche scientifique, les causes de nos difficultés et problèmes quotidiens, et leur solution, en utilisant les enseignements de Bouddha qui nous montrent comment changer le monde en changeant notre esprit. Dans ce monde hyperactif, nos expériences de bonheur ne durent que peu de temps et la paix intérieure nous échappe totalement. Nos états d'esprit négatifs, comme les désirs compulsifs et la colère, sont la cause de problèmes interminables pour nous-mêmes et pour les autres, et nous empêchent de réaliser nos désirs les plus profonds. Guéshé Kelsang commence par nous présenter un des enseignements les plus connus de Bouddha, les quatre nobles vérités, qui offre une solution claire et simple à tous nos problèmes, en nous conduisant à un oasis de paix à l'intérieur de notre cœur. Puis il explique en particulier comment nous pouvons surmonter le problème de la colère, en apprenant à développer et maintenir la patience lorsque nous sommes confrontés à des situations extrêmement difficiles.",,,,,,,,,,,,,,,,,français,,,,,,9791090820661,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:44:30.669196963,,,,,,,,"Religion, Spiritualité",0,0,,https://is3-ssl.mzstatic.com/image/thumb/Publication118/v4/0e/be/02/0ebe021e-6215-c4de-fa20-068a4b678d93/source/512x512bb.jpg,
Comment résoudre nos problèmes humains,,,,,Guéshé Kelsang Gyatso,"Gyatso, Guéshé Kelsang",,,,,,Editions Tharpa,,2012/12/01,2012,,,,,"Dans ce monde mouvementé, nos expériences de bonheur sont rares et éphémères. La paix intérieure nous échappe entièrement. Nos états d’esprit négatifs, tels que le désir incontrôlé et la colère, créent des problèmes sans fin pour nous-même et les autres. Ils nous empêchent d’exaucer nos souhaits les plus profonds. L’enseignement sur les quatre nobles vérités propose une solution claire et simple, qui nous fait découvrir une oasis de paix sans limites, à l’intérieur de notre propre coeur.",,,,,,,,,,,179,,,,,,français,,,,,,9791090820227,0,0.000000,,Unread,,,,,,,,0,,,,2020/03/24 10:17:26.393064022,,,,,,,oh-h7N_rq7EC,"Religion, Spiritualité",0,0,,,
Comment Transformer Votre Vie,,Un Voyage plein de félicité,,,Guéshé Kelsang Gyatso,"Gyatso, Guéshé Kelsang",,,,,,Editions Tharpa,,2017/04/01,2017,,,,Self-Help,"Un manuel pratique pour la vie quotidienne qui montre comment nous pouvons développer et maintenir la paix intérieure, comment nous pouvons réduire et faire cesser nos expériences de problèmes et comment nous pouvons apporter des changements positifs dans nos vies, pour nous permettre de connaître un bonheur profond et durable. Il s'agit d'une nouvelle édition, avec d’importants changements, de l'un des livres les plus populaires et accessibles de Vénérable Guéshé Kelsang. A la demande de l'auteur, le livre a été mis à disposition gratuitement en format téléchargeable.« Quand les choses vont mal dans notre vie et que nous rencontrons des situations difficiles, nous avons tendance à considérer que la situation elle-même est notre problème, mais en réalité tous les problèmes que nous connaissons proviennent de l’esprit. Si nous répondions aux difficultés avec un esprit positif ou paisible, elles ne seraient pas un problème pour nous : en effet, nous pourrions même les considérer comme des défis ou des occasions favorables pour grandir et nous développer. Les problèmes n’apparaissent que si nous répondons aux situations avec un état d’esprit négatif. C’est pourquoi, si nous voulons être heureux tout le temps et ne plus avoir de problèmes, nous devons apprendre à développer et maintenir un esprit paisible. »Vénérable Guéshé Kelsang Gyatso Rinpoché",,,,,,,,,,,360,,,,,,français,,,,,,9791090820548,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:44:30.685850977,,,,,,,VHx1DwAAQBAJ,"Religion, Spiritualité",0,0,,,
Comment Transformer Votre Vie,,Un Voyage plein de félicité,,,Guéshé Kelsang Gyatso,"Gyatso, Guéshé Kelsang",,,,,,Editions Tharpa,,2017/04/01,2017,,,,Self-Help,"Un manuel pratique pour la vie quotidienne qui montre comment nous pouvons développer et maintenir la paix intérieure, comment nous pouvons réduire et faire cesser nos expériences de problèmes et comment nous pouvons apporter des changements positifs dans nos vies, pour nous permettre de connaître un bonheur profond et durable. Il s'agit d'une nouvelle édition, avec d’importants changements, de l'un des livres les plus populaires et accessibles de Vénérable Guéshé Kelsang. A la demande de l'auteur, le livre a été mis à disposition gratuitement en format téléchargeable.« Quand les choses vont mal dans notre vie et que nous rencontrons des situations difficiles, nous avons tendance à considérer que la situation elle-même est notre problème, mais en réalité tous les problèmes que nous connaissons proviennent de l’esprit. Si nous répondions aux difficultés avec un esprit positif ou paisible, elles ne seraient pas un problème pour nous : en effet, nous pourrions même les considérer comme des défis ou des occasions favorables pour grandir et nous développer. Les problèmes n’apparaissent que si nous répondons aux situations avec un état d’esprit négatif. C’est pourquoi, si nous voulons être heureux tout le temps et ne plus avoir de problèmes, nous devons apprendre à développer et maintenir un esprit paisible. »Vénérable Guéshé Kelsang Gyatso Rinpoché",,,,,,,,,,,360,,,,,,français,,,,,,9791090820548,0,0.000000,,Unread,,,,,,,,0,,,,2020/03/24 10:12:42.483325958,,,,,,,VHx1DwAAQBAJ,"Religion, Spiritualité",0,0,,,
Composer en danse,,Un vocabulaire des opérations et des pratiques,,,"Yvane Chapuis, Myriam Gourfink, Julie Perrin","Chapuis, Yvane",,,,,,Les Presses du réel,,2020/01/14,2020,,,,,,,,,,,,,,,,591,,,,,,français,,,,,,9782378961022,0,0.000000,,Unread,,,,,,,,0,,,,2020/03/23 14:46:02.202996969,,,,,,,9gxdzQEACAAJ,Études,0,0,,http://images.amazon.com/images/P/2378961022.01Z.jpg,
Composing while dancing,,an improviser's companion,,,Melinda Buckwalter,"Buckwalter, Melinda",,,,,,The University of Wisconsin Press,,,2011,,,,Improvisation in dance,,,,,,,,,,,,231,,,,,,anglais,,,,,,9780299248147,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.843940973,,,,,,,,Méthodes,0,0,,http://images.amazon.com/images/P/0299248143.01Z.jpg,
Conditions of Political Choreography,,,,,Marius Babias,"Babias, Marius",,,,,,,,,2017,,,,,,,,,,,,,,,,196,,,,,,anglais,Hébreu,,,,,,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 17:18:38.767181992,,,,,,,YTs_wAEACAAJ,,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/EE75839A-0599-478A-83B6-82579B801C71,
